CL_UNIT,DataValue,LineDescription,LineNumber,METRIC_NAME,SeriesCode,TableID,TableName,TimePeriod,UNIT_MULT,_id
Level,"5,570",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1929,6,59e9691637efdf6d8b49a190
Level,"4,247",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1930,6,59e9691737efdf6d8b49a191
Level,"2,700",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1931,6,59e9691737efdf6d8b49a192
Level,"1,495",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1932,6,59e9691737efdf6d8b49a193
Level,"1,476",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1933,6,59e9691737efdf6d8b49a194
Level,"2,149",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1934,6,59e9691737efdf6d8b49a195
Level,"2,893",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1935,6,59e9691737efdf6d8b49a196
Level,"3,953",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1936,6,59e9691737efdf6d8b49a197
Level,"4,853",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1937,6,59e9691737efdf6d8b49a198
Level,"3,471",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1938,6,59e9691737efdf6d8b49a199
Level,"3,960",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1939,6,59e9691737efdf6d8b49a19a
Level,"5,254",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1940,6,59e9691737efdf6d8b49a19b
Level,"6,556",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1941,6,59e9691737efdf6d8b49a19c
Level,"4,147",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1942,6,59e9691737efdf6d8b49a19d
Level,"3,706",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1943,6,59e9691737efdf6d8b49a19e
Level,"5,026",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1944,6,59e9691737efdf6d8b49a19f
Level,"7,329",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1945,6,59e9691737efdf6d8b49a1a0
Level,"10,122",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1946,6,59e9691737efdf6d8b49a1a1
Level,"15,617",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1947,6,59e9691737efdf6d8b49a1a2
Level,"17,610",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1948,6,59e9691737efdf6d8b49a1a3
Level,"16,031",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1949,6,59e9691737efdf6d8b49a1a4
Level,"18,174",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1950,6,59e9691737efdf6d8b49a1a5
Level,"20,245",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1951,6,59e9691737efdf6d8b49a1a6
Level,"20,062",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1952,6,59e9691737efdf6d8b49a1a7
Level,"21,917",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1953,6,59e9691737efdf6d8b49a1a8
Level,"21,203",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1954,6,59e9691737efdf6d8b49a1a9
Level,"24,320",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1955,6,59e9691737efdf6d8b49a1aa
Level,"26,801",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1956,6,59e9691737efdf6d8b49a1ab
Level,"29,016",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1957,6,59e9691737efdf6d8b49a1ac
Level,"25,352",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1958,6,59e9691737efdf6d8b49a1ad
Level,"28,915",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1959,6,59e9691737efdf6d8b49a1ae
Level,"30,208",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1960,6,59e9691737efdf6d8b49a1af
Level,"29,425",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1961,6,59e9691737efdf6d8b49a1b0
Level,"32,596",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1962,6,59e9691737efdf6d8b49a1b1
Level,"34,959",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1963,6,59e9691737efdf6d8b49a1b2
Level,"39,312",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1964,6,59e9691737efdf6d8b49a1b3
Level,"46,466",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1965,6,59e9691737efdf6d8b49a1b4
Level,"53,715",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1966,6,59e9691737efdf6d8b49a1b5
Level,"54,404",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1967,6,59e9691737efdf6d8b49a1b6
Level,"59,398",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1968,6,59e9691737efdf6d8b49a1b7
Level,"66,173",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1969,6,59e9691737efdf6d8b49a1b8
Level,"67,525",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1970,6,59e9691737efdf6d8b49a1b9
Level,"70,337",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1971,6,59e9691737efdf6d8b49a1ba
Level,"80,421",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1972,6,59e9691737efdf6d8b49a1bb
Level,"96,801",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1973,6,59e9691737efdf6d8b49a1bc
Level,"106,197",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1974,6,59e9691737efdf6d8b49a1bd
Level,"109,534",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1975,6,59e9691737efdf6d8b49a1be
Level,"123,364",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1976,6,59e9691737efdf6d8b49a1bf
Level,"151,062",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1977,6,59e9691737efdf6d8b49a1c0
Level,"183,368",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1978,6,59e9691737efdf6d8b49a1c1
Level,"211,229",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1979,6,59e9691737efdf6d8b49a1c2
Level,"219,762",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1980,6,59e9691737efdf6d8b49a1c3
Level,"244,467",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1981,6,59e9691737efdf6d8b49a1c4
Level,"238,551",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1982,6,59e9691737efdf6d8b49a1c5
Level,"250,690",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1983,6,59e9691737efdf6d8b49a1c6
Level,"296,589",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1984,6,59e9691737efdf6d8b49a1c7
Level,"312,961",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1985,6,59e9691737efdf6d8b49a1c8
Level,"323,192",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1986,6,59e9691737efdf6d8b49a1c9
Level,"326,724",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1987,6,59e9691737efdf6d8b49a1ca
Level,"352,877",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1988,6,59e9691737efdf6d8b49a1cb
Level,"378,309",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1989,6,59e9691737efdf6d8b49a1cc
Level,"377,899",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1990,6,59e9691737efdf6d8b49a1cd
Level,"366,597",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1991,6,59e9691737efdf6d8b49a1ce
Level,"387,620",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1992,6,59e9691737efdf6d8b49a1cf
Level,"431,212",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1993,6,59e9691737efdf6d8b49a1d0
Level,"482,607",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1994,6,59e9691737efdf6d8b49a1d1
Level,"534,455",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1995,6,59e9691737efdf6d8b49a1d2
Level,"571,639",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1996,6,59e9691737efdf6d8b49a1d3
Level,"617,128",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1997,6,59e9691737efdf6d8b49a1d4
Level,"666,684",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1998,6,59e9691737efdf6d8b49a1d5
Level,"720,879",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,1999,6,59e9691737efdf6d8b49a1d6
Level,"773,786",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2000,6,59e9691737efdf6d8b49a1d7
Level,"719,359",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2001,6,59e9691737efdf6d8b49a1d8
Level,"667,666",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2002,6,59e9691737efdf6d8b49a1d9
Level,"677,256",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2003,6,59e9691737efdf6d8b49a1da
Level,"728,176",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2004,6,59e9691737efdf6d8b49a1db
Level,"800,318",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2005,6,59e9691737efdf6d8b49a1dc
Level,"866,172",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2006,6,59e9691737efdf6d8b49a1dd
Level,"895,650",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2007,6,59e9691737efdf6d8b49a1de
Level,"834,488",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2008,6,59e9691737efdf6d8b49a1df
Level,"652,624",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2009,6,59e9691737efdf6d8b49a1e0
Level,"740,181",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2010,6,59e9691737efdf6d8b49a1e1
Level,"846,813",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2011,6,59e9691737efdf6d8b49a1e2
Level,"946,811",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2012,6,59e9691737efdf6d8b49a1e3
Level,"992,053",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2013,6,59e9691737efdf6d8b49a1e4
Level,"1,055,973",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2014,6,59e9691737efdf6d8b49a1e5
Level,"1,091,789",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2015,6,59e9691737efdf6d8b49a1e6
Level,"1,054,045",Private fixed investment in equipment,1,Current Dollars,Y032RC,157,T50505,2016,6,59e9691737efdf6d8b49a1e7
Level,"5,492",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1929,6,59e9691737efdf6d8b49a1e8
Level,"4,180",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1930,6,59e9691737efdf6d8b49a1e9
Level,"2,643",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1931,6,59e9691737efdf6d8b49a1ea
Level,"1,460",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1932,6,59e9691737efdf6d8b49a1eb
Level,"1,436",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1933,6,59e9691737efdf6d8b49a1ec
Level,"2,098",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1934,6,59e9691737efdf6d8b49a1ed
Level,"2,833",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1935,6,59e9691737efdf6d8b49a1ee
Level,"3,881",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1936,6,59e9691737efdf6d8b49a1ef
Level,"4,770",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1937,6,59e9691737efdf6d8b49a1f0
Level,"3,401",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1938,6,59e9691737efdf6d8b49a1f1
Level,"3,883",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1939,6,59e9691737efdf6d8b49a1f2
Level,"5,167",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1940,6,59e9691737efdf6d8b49a1f3
Level,"6,443",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1941,6,59e9691737efdf6d8b49a1f4
Level,"4,065",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1942,6,59e9691737efdf6d8b49a1f5
Level,"3,671",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1943,6,59e9691737efdf6d8b49a1f6
Level,"5,002",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1944,6,59e9691737efdf6d8b49a1f7
Level,"7,285",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1945,6,59e9691737efdf6d8b49a1f8
Level,"9,945",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1946,6,59e9691737efdf6d8b49a1f9
Level,"15,316",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1947,6,59e9691737efdf6d8b49a1fa
Level,"17,280",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1948,6,59e9691737efdf6d8b49a1fb
Level,"15,732",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1949,6,59e9691737efdf6d8b49a1fc
Level,"17,799",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1950,6,59e9691737efdf6d8b49a1fd
Level,"19,874",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1951,6,59e9691737efdf6d8b49a1fe
Level,"19,694",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1952,6,59e9691737efdf6d8b49a1ff
Level,"21,531",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1953,6,59e9691737efdf6d8b49a200
Level,"20,812",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1954,6,59e9691737efdf6d8b49a201
Level,"23,888",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1955,6,59e9691737efdf6d8b49a202
Level,"26,343",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1956,6,59e9691737efdf6d8b49a203
Level,"28,561",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1957,6,59e9691737efdf6d8b49a204
Level,"24,876",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1958,6,59e9691737efdf6d8b49a205
Level,"28,345",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1959,6,59e9691737efdf6d8b49a206
Level,"29,679",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1960,6,59e9691737efdf6d8b49a207
Level,"28,904",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1961,6,59e9691737efdf6d8b49a208
Level,"32,056",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1962,6,59e9691737efdf6d8b49a209
Level,"34,367",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1963,6,59e9691737efdf6d8b49a20a
Level,"38,684",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1964,6,59e9691737efdf6d8b49a20b
Level,"45,779",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1965,6,59e9691737efdf6d8b49a20c
Level,"53,023",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1966,6,59e9691737efdf6d8b49a20d
Level,"53,693",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1967,6,59e9691737efdf6d8b49a20e
Level,"58,532",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1968,6,59e9691737efdf6d8b49a20f
Level,"65,163",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1969,6,59e9691737efdf6d8b49a210
Level,"66,404",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1970,6,59e9691737efdf6d8b49a211
Level,"69,059",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1971,6,59e9691737efdf6d8b49a212
Level,"78,885",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1972,6,59e9691737efdf6d8b49a213
Level,"95,062",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1973,6,59e9691737efdf6d8b49a214
Level,"104,316",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1974,6,59e9691737efdf6d8b49a215
Level,"107,615",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1975,6,59e9691737efdf6d8b49a216
Level,"121,242",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1976,6,59e9691737efdf6d8b49a217
Level,"148,665",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1977,6,59e9691737efdf6d8b49a218
Level,"180,634",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1978,6,59e9691737efdf6d8b49a219
Level,"208,062",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1979,6,59e9691737efdf6d8b49a21a
Level,"216,386",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1980,6,59e9691737efdf6d8b49a21b
Level,"240,852",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1981,6,59e9691737efdf6d8b49a21c
Level,"234,862",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1982,6,59e9691737efdf6d8b49a21d
Level,"246,470",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1983,6,59e9691737efdf6d8b49a21e
Level,"291,874",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1984,6,59e9691737efdf6d8b49a21f
Level,"307,905",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1985,6,59e9691737efdf6d8b49a220
Level,"317,693",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1986,6,59e9691737efdf6d8b49a221
Level,"320,919",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1987,6,59e9691737efdf6d8b49a222
Level,"346,816",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1988,6,59e9691737efdf6d8b49a223
Level,"372,160",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1989,6,59e9691737efdf6d8b49a224
Level,"371,891",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1990,6,59e9691737efdf6d8b49a225
Level,"360,849",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1991,6,59e9691737efdf6d8b49a226
Level,"381,699",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1992,6,59e9691737efdf6d8b49a227
Level,"425,141",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1993,6,59e9691737efdf6d8b49a228
Level,"476,380",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1994,6,59e9691737efdf6d8b49a229
Level,"528,128",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1995,6,59e9691737efdf6d8b49a22a
Level,"565,309",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1996,6,59e9691737efdf6d8b49a22b
Level,"610,859",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1997,6,59e9691737efdf6d8b49a22c
Level,"660,014",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1998,6,59e9691737efdf6d8b49a22d
Level,"713,626",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,1999,6,59e9691737efdf6d8b49a22e
Level,"766,088",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2000,6,59e9691737efdf6d8b49a22f
Level,"711,517",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2001,6,59e9691737efdf6d8b49a230
Level,"659,640",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2002,6,59e9691737efdf6d8b49a231
Level,"668,971",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2003,6,59e9691737efdf6d8b49a232
Level,"719,193",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2004,6,59e9691737efdf6d8b49a233
Level,"790,695",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2005,6,59e9691737efdf6d8b49a234
Level,"856,134",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2006,6,59e9691737efdf6d8b49a235
Level,"885,773",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2007,6,59e9691737efdf6d8b49a236
Level,"825,149",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2008,6,59e9691737efdf6d8b49a237
Level,"644,308",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2009,6,59e9691737efdf6d8b49a238
Level,"731,832",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2010,6,59e9691737efdf6d8b49a239
Level,"838,236",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2011,6,59e9691737efdf6d8b49a23a
Level,"937,939",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2012,6,59e9691737efdf6d8b49a23b
Level,"982,804",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2013,6,59e9691737efdf6d8b49a23c
Level,"1,046,458",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2014,6,59e9691737efdf6d8b49a23d
Level,"1,081,934",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2015,6,59e9691737efdf6d8b49a23e
Level,"1,043,930",Nonresidential equipment,2,Current Dollars,Y033RC,157,T50505,2016,6,59e9691737efdf6d8b49a23f
Level,"1,144",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1946,6,59e9691737efdf6d8b49a240
Level,"1,723",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1947,6,59e9691737efdf6d8b49a241
Level,"1,809",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1948,6,59e9691737efdf6d8b49a242
Level,"1,628",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1949,6,59e9691737efdf6d8b49a243
Level,"1,841",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1950,6,59e9691737efdf6d8b49a244
Level,"2,149",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1951,6,59e9691737efdf6d8b49a245
Level,"2,430",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1952,6,59e9691737efdf6d8b49a246
Level,"2,666",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1953,6,59e9691737efdf6d8b49a247
Level,"2,424",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1954,6,59e9691737efdf6d8b49a248
Level,"2,818",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1955,6,59e9691737efdf6d8b49a249
Level,"3,355",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1956,6,59e9691737efdf6d8b49a24a
Level,"3,982",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1957,6,59e9691737efdf6d8b49a24b
Level,"3,606",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1958,6,59e9691737efdf6d8b49a24c
Level,"3,974",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1959,6,59e9691737efdf6d8b49a24d
Level,"4,742",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1960,6,59e9691737efdf6d8b49a24e
Level,"5,094",Information processing equipment,3,Current Dollars,Y034RC,157,T50505,1961,6,59e9691737efdf6d8b49a24f
