CL_UNIT,DataValue,LineDescription,LineNumber,METRIC_NAME,SeriesCode,TableID,TableName,TimePeriod,UNIT_MULT,_id
Level,"118,881",Government,1,Current Dollars,A822RC,117,T31505,1959,6,59e963cd37efdf6d8b481fe4
Level,"121,024",Government,1,Current Dollars,A822RC,117,T31505,1960,6,59e963ce37efdf6d8b481fe5
Level,"129,844",Government,1,Current Dollars,A822RC,117,T31505,1961,6,59e963ce37efdf6d8b481fe6
Level,"140,931",Government,1,Current Dollars,A822RC,117,T31505,1962,6,59e963ce37efdf6d8b481fe7
Level,"147,879",Government,1,Current Dollars,A822RC,117,T31505,1963,6,59e963ce37efdf6d8b481fe8
Level,"155,526",Government,1,Current Dollars,A822RC,117,T31505,1964,6,59e963ce37efdf6d8b481fe9
Level,"164,885",Government,1,Current Dollars,A822RC,117,T31505,1965,6,59e963ce37efdf6d8b481fea
Level,"186,392",Government,1,Current Dollars,A822RC,117,T31505,1966,6,59e963ce37efdf6d8b481feb
Level,"208,066",Government,1,Current Dollars,A822RC,117,T31505,1967,6,59e963ce37efdf6d8b481fec
Level,"226,758",Government,1,Current Dollars,A822RC,117,T31505,1968,6,59e963ce37efdf6d8b481fed
Level,"240,401",Government,1,Current Dollars,A822RC,117,T31505,1969,6,59e963ce37efdf6d8b481fee
Level,"254,196",Government,1,Current Dollars,A822RC,117,T31505,1970,6,59e963ce37efdf6d8b481fef
Level,"269,331",Government,1,Current Dollars,A822RC,117,T31505,1971,6,59e963ce37efdf6d8b481ff0
Level,"288,245",Government,1,Current Dollars,A822RC,117,T31505,1972,6,59e963ce37efdf6d8b481ff1
Level,"306,365",Government,1,Current Dollars,A822RC,117,T31505,1973,6,59e963ce37efdf6d8b481ff2
Level,"343,113",Government,1,Current Dollars,A822RC,117,T31505,1974,6,59e963ce37efdf6d8b481ff3
Level,"382,937",Government,1,Current Dollars,A822RC,117,T31505,1975,6,59e963ce37efdf6d8b481ff4
Level,"405,824",Government,1,Current Dollars,A822RC,117,T31505,1976,6,59e963ce37efdf6d8b481ff5
Level,"435,759",Government,1,Current Dollars,A822RC,117,T31505,1977,6,59e963ce37efdf6d8b481ff6
