CL_UNIT,DataValue,LineDescription,LineNumber,METRIC_NAME,SeriesCode,TableID,TableName,TimePeriod,UNIT_MULT,_id
"Percent change, annual rate",-8.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1930,0,59e936d237efdf5e316eb2c4
"Percent change, annual rate",-6.4,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1931,0,59e936d337efdf5e316eb2c5
"Percent change, annual rate",-12.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1932,0,59e936d337efdf5e316eb2c6
"Percent change, annual rate",-1.3,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1933,0,59e936d337efdf5e316eb2c7
"Percent change, annual rate",10.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1934,0,59e936d337efdf5e316eb2c8
"Percent change, annual rate",8.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1935,0,59e936d337efdf5e316eb2c9
"Percent change, annual rate",12.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1936,0,59e936d337efdf5e316eb2ca
"Percent change, annual rate",5.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1937,0,59e936d337efdf5e316eb2cb
"Percent change, annual rate",-3.3,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1938,0,59e936d337efdf5e316eb2cc
"Percent change, annual rate",8.0,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1939,0,59e936d337efdf5e316eb2cd
"Percent change, annual rate",8.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1940,0,59e936d337efdf5e316eb2ce
"Percent change, annual rate",17.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1941,0,59e936d337efdf5e316eb2cf
"Percent change, annual rate",18.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1942,0,59e936d337efdf5e316eb2d0
"Percent change, annual rate",17.0,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1943,0,59e936d337efdf5e316eb2d1
"Percent change, annual rate",8.0,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1944,0,59e936d337efdf5e316eb2d2
"Percent change, annual rate",-1.0,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1945,0,59e936d337efdf5e316eb2d3
"Percent change, annual rate",-11.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1946,0,59e936d337efdf5e316eb2d4
"Percent change, annual rate",-1.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1947,0,59e936d337efdf5e316eb2d5
"Percent change, annual rate",4.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1948,0,59e936d337efdf5e316eb2d6
"Percent change, annual rate",-0.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1949,0,59e936d337efdf5e316eb2d7
"Percent change, annual rate",8.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1950,0,59e936d337efdf5e316eb2d8
"Percent change, annual rate",8.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1951,0,59e936d337efdf5e316eb2d9
"Percent change, annual rate",4.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1952,0,59e936d337efdf5e316eb2da
"Percent change, annual rate",4.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1953,0,59e936d337efdf5e316eb2db
"Percent change, annual rate",-0.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1954,0,59e936d337efdf5e316eb2dc
"Percent change, annual rate",7.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1955,0,59e936d337efdf5e316eb2dd
"Percent change, annual rate",2.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1956,0,59e936d337efdf5e316eb2de
"Percent change, annual rate",2.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1957,0,59e936d337efdf5e316eb2df
"Percent change, annual rate",-0.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1958,0,59e936d337efdf5e316eb2e0
"Percent change, annual rate",6.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1959,0,59e936d337efdf5e316eb2e1
"Percent change, annual rate",2.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1960,0,59e936d337efdf5e316eb2e2
"Percent change, annual rate",2.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1961,0,59e936d337efdf5e316eb2e3
"Percent change, annual rate",6.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1962,0,59e936d337efdf5e316eb2e4
"Percent change, annual rate",4.4,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1963,0,59e936d337efdf5e316eb2e5
"Percent change, annual rate",5.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1964,0,59e936d337efdf5e316eb2e6
"Percent change, annual rate",6.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1965,0,59e936d337efdf5e316eb2e7
"Percent change, annual rate",6.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1966,0,59e936d337efdf5e316eb2e8
"Percent change, annual rate",2.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1967,0,59e936d337efdf5e316eb2e9
"Percent change, annual rate",4.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1968,0,59e936d337efdf5e316eb2ea
"Percent change, annual rate",3.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1969,0,59e936d337efdf5e316eb2eb
"Percent change, annual rate",0.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1970,0,59e936d337efdf5e316eb2ec
"Percent change, annual rate",3.3,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1971,0,59e936d337efdf5e316eb2ed
"Percent change, annual rate",5.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1972,0,59e936d337efdf5e316eb2ee
"Percent change, annual rate",5.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1973,0,59e936d337efdf5e316eb2ef
"Percent change, annual rate",-0.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1974,0,59e936d337efdf5e316eb2f0
"Percent change, annual rate",-0.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1975,0,59e936d337efdf5e316eb2f1
"Percent change, annual rate",5.4,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1976,0,59e936d337efdf5e316eb2f2
"Percent change, annual rate",4.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1977,0,59e936d337efdf5e316eb2f3
"Percent change, annual rate",5.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1978,0,59e936d337efdf5e316eb2f4
"Percent change, annual rate",3.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1979,0,59e936d337efdf5e316eb2f5
"Percent change, annual rate",-0.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1980,0,59e936d337efdf5e316eb2f6
"Percent change, annual rate",2.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1981,0,59e936d337efdf5e316eb2f7
"Percent change, annual rate",-1.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1982,0,59e936d337efdf5e316eb2f8
"Percent change, annual rate",4.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1983,0,59e936d337efdf5e316eb2f9
"Percent change, annual rate",7.3,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1984,0,59e936d337efdf5e316eb2fa
"Percent change, annual rate",4.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1985,0,59e936d337efdf5e316eb2fb
"Percent change, annual rate",3.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1986,0,59e936d337efdf5e316eb2fc
"Percent change, annual rate",3.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1987,0,59e936d337efdf5e316eb2fd
"Percent change, annual rate",4.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1988,0,59e936d337efdf5e316eb2fe
"Percent change, annual rate",3.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1989,0,59e936d337efdf5e316eb2ff
"Percent change, annual rate",1.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1990,0,59e936d337efdf5e316eb300
"Percent change, annual rate",-0.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1991,0,59e936d337efdf5e316eb301
"Percent change, annual rate",3.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1992,0,59e936d337efdf5e316eb302
"Percent change, annual rate",2.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1993,0,59e936d337efdf5e316eb303
"Percent change, annual rate",4.0,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1994,0,59e936d337efdf5e316eb304
"Percent change, annual rate",2.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1995,0,59e936d337efdf5e316eb305
"Percent change, annual rate",3.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1996,0,59e936d337efdf5e316eb306
"Percent change, annual rate",4.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1997,0,59e936d337efdf5e316eb307
"Percent change, annual rate",4.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1998,0,59e936d337efdf5e316eb308
"Percent change, annual rate",4.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,1999,0,59e936d337efdf5e316eb309
"Percent change, annual rate",4.1,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2000,0,59e936d337efdf5e316eb30a
"Percent change, annual rate",1.0,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2001,0,59e936d337efdf5e316eb30b
"Percent change, annual rate",1.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2002,0,59e936d337efdf5e316eb30c
"Percent change, annual rate",2.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2003,0,59e936d337efdf5e316eb30d
"Percent change, annual rate",3.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2004,0,59e936d337efdf5e316eb30e
"Percent change, annual rate",3.3,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2005,0,59e936d337efdf5e316eb30f
"Percent change, annual rate",2.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2006,0,59e936d337efdf5e316eb310
"Percent change, annual rate",1.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2007,0,59e936d337efdf5e316eb311
"Percent change, annual rate",-0.3,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2008,0,59e936d337efdf5e316eb312
"Percent change, annual rate",-2.8,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2009,0,59e936d337efdf5e316eb313
"Percent change, annual rate",2.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2010,0,59e936d337efdf5e316eb314
"Percent change, annual rate",1.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2011,0,59e936d337efdf5e316eb315
"Percent change, annual rate",2.2,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2012,0,59e936d337efdf5e316eb316
"Percent change, annual rate",1.7,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2013,0,59e936d337efdf5e316eb317
"Percent change, annual rate",2.6,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2014,0,59e936d337efdf5e316eb318
"Percent change, annual rate",2.9,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2015,0,59e936d337efdf5e316eb319
"Percent change, annual rate",1.5,Gross domestic product,1,Fisher Quantity Index,A191RL,2,T10102,2016,0,59e936d337efdf5e316eb31a
Level,-3.96,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1930,0,59e936d337efdf5e316eb31b
Level,-2.37,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1931,0,59e936d337efdf5e316eb31c
Level,-7.00,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1932,0,59e936d337efdf5e316eb31d
Level,-1.79,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1933,0,59e936d337efdf5e316eb31e
Level,5.71,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1934,0,59e936d337efdf5e316eb31f
Level,4.69,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1935,0,59e936d337efdf5e316eb320
Level,7.68,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1936,0,59e936d337efdf5e316eb321
Level,2.72,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1937,0,59e936d337efdf5e316eb322
Level,-1.15,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1938,0,59e936d337efdf5e316eb323
Level,4.11,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1939,0,59e936d337efdf5e316eb324
Level,3.72,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1940,0,59e936d337efdf5e316eb325
Level,4.90,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1941,0,59e936d337efdf5e316eb326
Level,-1.50,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1942,0,59e936d337efdf5e316eb327
Level,1.52,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1943,0,59e936d337efdf5e316eb328
Level,1.42,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1944,0,59e936d337efdf5e316eb329
Level,3.01,Personal consumption expenditures,2,Quantity Contributions,DPCERY,2,T10102,1945,0,59e936d337efdf5e316eb32a
