CL_UNIT,DataValue,LineDescription,LineNumber,METRIC_NAME,SeriesCode,TableID,TableName,TimePeriod,UNIT_MULT,_id
Level,"77,384",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1929,6,59e95ccf37efdf6d8b462433
Level,"70,136",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1930,6,59e95cdc37efdf6d8b462434
Level,"60,671",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1931,6,59e95cdc37efdf6d8b462435
Level,"48,712",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1932,6,59e95cdc37efdf6d8b462436
Level,"45,944",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1933,6,59e95cdc37efdf6d8b462437
Level,"51,460",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1934,6,59e95cdc37efdf6d8b462438
Level,"55,931",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1935,6,59e95cdc37efdf6d8b462439
Level,"62,187",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1936,6,59e95cdc37efdf6d8b46243a
Level,"66,839",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1937,6,59e95cdc37efdf6d8b46243b
Level,"64,268",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1938,6,59e95cdc37efdf6d8b46243c
Level,"67,209",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1939,6,59e95cdc37efdf6d8b46243d
Level,"71,290",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1940,6,59e95cdc37efdf6d8b46243e
Level,"81,071",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1941,6,59e95cdc37efdf6d8b46243f
Level,"89,004",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1942,6,59e95cdc37efdf6d8b462440
Level,"99,900",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1943,6,59e95cdc37efdf6d8b462441
Level,"108,648",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1944,6,59e95cdc37efdf6d8b462442
Level,"119,979",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1945,6,59e95cdc37efdf6d8b462443
Level,"144,303",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1946,6,59e95cdc37efdf6d8b462444
Level,"161,979",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1947,6,59e95cdc37efdf6d8b462445
Level,"175,010",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1948,6,59e95cdc37efdf6d8b462446
Level,"178,472",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1949,6,59e95cdc37efdf6d8b462447
Level,"192,192",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1950,6,59e95cdc37efdf6d8b462448
Level,"208,485",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1951,6,59e95cdc37efdf6d8b462449
Level,"219,471",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1952,6,59e95cdc37efdf6d8b46244a
Level,"233,012",Personal consumption expenditures,1,Current Dollars,DPCERC,70,T20405,1953,6,59e95cdc37efdf6d8b46244b
